epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,105.458,2.90766,5.16119,2.86055,0,0,0,0,2.89931,5.8478,3.22311,1.3611e-05,1.3611e-05,1.3611e-05
35,108.666,2.93189,5.20571,2.9209,0,0,0,0,2.8455,5.85092,3.21132,1.32223e-05,1.32223e-05,1.32223e-05
36,111.642,3.00336,5.24511,2.92671,0,0,0,0,2.8455,5.85092,3.21132,1.27866e-05,1.27866e-05,1.27866e-05
37,115.048,2.84318,5.15698,2.78601,0,0,0,0,2.81531,5.85091,3.19655,1.23036e-05,1.23036e-05,1.23036e-05
38,118.036,2.63886,5.19286,2.65635,0,0,0,0,2.81531,5.85091,3.19655,1.17736e-05,1.17736e-05,1.17736e-05
39,121.099,3.17931,5.33091,2.85282,0,0,0,0,2.79145,5.84073,3.17399,1.11965e-05,1.11965e-05,1.11965e-05
40,124.401,2.7971,5.15653,2.77961,0,0,0,0,2.79145,5.84073,3.17399,1.05722e-05,1.05722e-05,1.05722e-05
41,127.478,2.97117,5.35225,3.0787,0,0,0,0,2.79139,5.82191,3.15908,9.9008e-06,9.9008e-06,9.9008e-06
42,130.68,2.30466,5.47333,2.48439,0,0,0,0,2.79139,5.82191,3.15908,9.18228e-06,9.18228e-06,9.18228e-06
43,133.814,2.42115,5.30662,2.74694,0,0,0,0,2.79332,5.82544,3.14369,8.41663e-06,8.41663e-06,8.41663e-06
44,136.738,2.69187,5.45984,2.951,0,0,0,0,2.79332,5.82544,3.14369,7.60386e-06,7.60386e-06,7.60386e-06
45,139.975,2.32912,5.27645,2.65557,0,0,0,0,2.81284,5.81228,3.12254,6.74397e-06,6.74397e-06,6.74397e-06
46,142.895,2.37371,5.40743,2.5139,0,0,0,0,2.81284,5.81228,3.12254,5.83695e-06,5.83695e-06,5.83695e-06
47,146.129,2.53143,5.30818,2.78159,0,0,0,0,2.84422,5.80395,3.10552,4.88281e-06,4.88281e-06,4.88281e-06
48,149.155,2.3607,5.29144,2.51705,0,0,0,0,2.84422,5.80395,3.10552,3.88154e-06,3.88154e-06,3.88154e-06
49,152.099,2.42909,5.34569,2.61957,0,0,0,0,2.90086,5.76454,3.0786,2.83315e-06,2.83315e-06,2.83315e-06
50,155.378,2.72879,5.36675,2.9061,0,0,0,0,2.90086,5.76454,3.0786,1.73764e-06,1.73764e-06,1.73764e-06
